"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","188.50","212.00",".00"
"2014-03-04","188.50","212.00",".00"
"2014-03-05","187.60","212.00",".00"
"2014-03-06","186.50","212.00",".00"
"2014-03-07","184.80","212.00",".00"
"2014-03-10","185.90","212.00",".00"
"2014-03-11","188.00","212.00",".00"
"2014-03-12","185.30","212.00",".00"
"2014-03-13","183.00","212.00",".00"
"2014-03-14","184.00","212.00",".00"
"2014-03-17","187.00","212.00",".00"
"2014-03-18","188.50","212.00",".00"
"2014-03-19","187.90","212.00",".00"
"2014-03-20","187.00","212.00",".00"
"2014-03-21","184.10","212.00",".00"
"2014-03-24","185.30","212.00",".00"
"2014-03-25","189.00","212.00",".00"
"2014-03-26","190.80","212.00",".00"
"2014-03-27","191.60","212.00",".00"
"2014-03-28","191.40","212.00",".00"
"2014-03-31","195.70","212.00",".00"
"2014-04-01","198.40","212.00",".00"
"2014-04-02","195.70","212.00",".00"
"2014-04-03","195.80","212.00",".00"
"2014-04-04","193.00","212.00",".00"
"2014-04-07","195.90","212.00",".00"
"2014-04-08","193.30","212.00",".00"
"2014-04-09","196.40","212.00",".00"
"2014-04-10","194.60","212.00",".00"
"2014-04-11","192.00","212.00",".00"
"2014-04-14","191.30","212.00",".00"
"2014-04-15","188.50","212.00",".00"
"2014-04-16","187.30","212.00",".00"
"2014-04-17","189.00","212.00",".00"
"2014-04-18","189.00","212.00",".00"
"2014-04-21","189.00","212.00",".00"
"2014-04-22","194.00","212.00",".00"
"2014-04-23","191.60","212.00",".00"
"2014-04-24","190.60","212.00",".00"
"2014-04-25","193.20","212.00",".00"
"2014-04-28","196.90","212.00",".00"
"2014-04-29","198.50","212.00",".00"
"2014-04-30","195.20","212.00",".00"
"2014-05-01","195.20","212.00",".00"
"2014-05-02","197.00","212.00",".00"
"2014-05-05","198.00","212.00",".00"
"2014-05-06","196.40","220.00",".00"
"2014-05-07","196.00","220.00",".00"
"2014-05-08","197.20","220.00",".00"
"2014-05-09","194.20","220.00",".00"
"2014-05-12","193.90","220.00",".00"
"2014-05-13","194.00","220.00",".00"
"2014-05-14","195.80","220.00",".00"
"2014-05-15","198.40","220.00",".00"
"2014-05-16","196.50","220.00",".00"
"2014-05-19","196.10","220.00",".00"
"2014-05-20","198.80","220.00",".00"
"2014-05-21","198.50","220.00",".00"
"2014-05-22","197.60","220.00",".00"
"2014-05-23","199.90","220.00",".00"
"2014-05-26","202.00","220.00",".00"
"2014-05-27","205.00","220.00",".00"
"2014-05-28","205.30","220.00",".00"
"2014-05-29","205.30","220.00",".00"
"2014-05-30","201.60","220.00",".00"
"2014-06-02","207.00","220.00",".00"
"2014-06-03","208.10","220.00",".00"
"2014-06-04","207.80","220.00",".00"
"2014-06-05","205.10","220.00",".00"
"2014-06-06","205.10","220.00",".00"
"2014-06-09","203.50","220.00",".00"
"2014-06-10","204.10","220.00",".00"
"2014-06-11","203.50","220.00",".00"
"2014-06-12","200.60","220.00",".00"
"2014-06-13","200.70","220.00",".00"
"2014-06-16","194.60","220.00",".00"
"2014-06-17","193.30","220.00",".00"
"2014-06-18","195.00","220.00",".00"
"2014-06-19","194.70","220.00",".00"
"2014-06-20","194.70","220.00",".00"
"2014-06-23","195.40","220.00",".00"
"2014-06-24","198.50","220.00",".00"
"2014-06-25","196.10","220.00",".00"
"2014-06-26","195.50","220.00",".00"
"2014-06-27","196.00","220.00",".00"
"2014-06-30","195.50","220.00",".00"
"2014-07-01","196.50","220.00",".00"
"2014-07-02","199.40","220.00",".00"
"2014-07-03","206.70","220.00",".00"
"2014-07-04","209.70","220.00",".00"
"2014-07-07","209.10","220.00",".00"
"2014-07-08","207.40","220.00",".00"
"2014-07-09","203.30","220.00",".00"
"2014-07-10","201.00","220.00",".00"
"2014-07-11","202.10","220.00",".00"
"2014-07-14","206.10","220.00",".00"
"2014-07-15","200.00","220.00",".00"
"2014-07-16","197.90","220.00",".00"
"2014-07-17","198.00","220.00",".00"
"2014-07-18","191.30","220.00",".00"
"2014-07-21","190.10","220.00",".00"
"2014-07-22","193.50","220.00",".00"
"2014-07-23","195.50","220.00",".00"
"2014-07-24","195.70","220.00",".00"
"2014-07-25","196.60","220.00",".00"
"2014-07-28","196.50","220.00",".00"
"2014-07-29","196.70","220.00",".00"
"2014-07-30","196.10","220.00",".00"
"2014-07-31","190.20","220.00",".00"
"2014-08-01","183.80","220.00",".00"
"2014-08-04","183.90","220.00",".00"
"2014-08-05","188.10","220.00",".00"
"2014-08-06","181.50","220.00",".00"
"2014-08-07","177.50","220.00",".00"
"2014-08-08","176.70","220.00",".00"
"2014-08-11","183.30","220.00",".00"
"2014-08-12","185.00","220.00",".00"
"2014-08-13","187.00","220.00",".00"
"2014-08-14","186.90","220.00",".00"
"2014-08-15","186.40","220.00",".00"
"2014-08-18","186.10","220.00",".00"
"2014-08-19","193.10","220.00",".00"
"2014-08-20","189.00","223.00",".00"
"2014-08-21","192.50","223.00",".00"
"2014-08-22","192.70","223.00",".00"
"2014-08-25","193.40","223.00",".00"
"2014-08-26","193.80","223.00",".00"
"2014-08-27","196.00","223.00",".00"
"2014-08-28","195.90","223.00",".00"
"2014-08-29","195.60","223.00",".00"
"2014-09-01","197.10","223.00",".00"
"2014-09-02","195.30","223.00",".00"
"2014-09-03","192.90","223.00",".00"
"2014-09-04","190.70","223.00",".00"
"2014-09-05","189.50","223.00",".00"
"2014-09-08","190.10","223.00",".00"
"2014-09-09","190.20","223.00",".00"
"2014-09-10","188.50","223.00",".00"
"2014-09-11","188.90","223.00",".00"
"2014-09-12","190.50","223.00",".00"
"2014-09-15","188.30","223.00",".00"
"2014-09-16","188.00","223.00",".00"
"2014-09-17","189.60","223.00",".00"
"2014-09-18","188.40","223.00",".00"
"2014-09-19","190.00","223.00",".00"
"2014-09-22","191.00","223.00",".00"
"2014-09-23","187.70","223.00",".00"
"2014-09-24","187.00","223.00",".00"
"2014-09-25","185.10","223.00",".00"
"2014-09-26","185.20","223.00",".00"
"2014-09-29","188.00","223.00",".00"
"2014-09-30","190.50","223.00",".00"
"2014-10-01","189.10","223.00",".00"
"2014-10-02","185.10","223.00",".00"
"2014-10-03","187.50","223.00",".00"
"2014-10-06","185.90","223.00",".00"
